wavelength (nm) ,irradiance (w m-2 nm-2)
1051,1.11E-42
1052,2.93E-42
1053,7.73E-42
1054,2.04E-41
1055,5.41E-41
1056,1.43E-40
1057,3.77E-40
1058,9.88E-40
1059,2.54E-39
1060,3.67E-39
1061,5.06E-39
1062,7.26E-39
1063,1.01E-38
1064,1.44E-38
1065,2.02E-38
1066,2.79E-38
1067,3.95E-38
1068,5.56E-38
1069,7.42E-38
1070,5.24E-38
1071,3.66E-38
1072,2.50E-38
1073,1.68E-38
1074,1.18E-38
1075,7.73E-39
1076,5.49E-39
1077,3.70E-39
1078,2.53E-39
1079,1.73E-39
1080,6.20E-40
1081,2.18E-40
1082,8.02E-41
1083,2.95E-41
1084,1.03E-41
1085,3.83E-42
1086,1.30E-42
1087,4.80E-43
1088,1.82E-43
1089,6.43E-44
1090,1.77E-44
1091,5.39E-45
1092,1.53E-45
1093,3.86E-46
1094,1.17E-46
1095,3.25E-47
1096,9.04E-48
1097,2.98E-48
1098,7.45E-49
1099,2.16E-49
1100,2.83E-50
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
